key,instruction,level_id,sample_id,reward_enum,feature_name,sub_condition,condition_1,condition_2,condition_3,condition_4,condition_5
000026,a balanced path length with narrow characteristics is created,26,000026,1,region,,3.0,,,,
000027,a balanced path length with narrow characteristics is created,27,000027,1,region,,9.0,,,,
000028,a balanced path length with narrow characteristics is created,28,000028,1,region,,6.0,,,,
000029,a balanced path length with narrow characteristics is created,29,000029,1,region,,6.0,,,,
000030,a balanced path length with wide characteristics is created,30,000030,1,region,,7.0,,,,
000031,a balanced path length with wide characteristics is created,31,000031,1,region,,3.0,,,,
000032,a balanced path length with wide characteristics is created,32,000032,1,region,,5.0,,,,
000033,a balanced path length with wide characteristics is created,33,000033,1,region,,10.0,,,,
000034,a balanced path length with wide characteristics is created,34,000034,1,region,,5.0,,,,
000035,a balanced path length with wide characteristics is created,35,000035,1,region,,5.0,,,,
000036,a balanced path length with wide characteristics is created,36,000036,1,region,,4.0,,,,
000037,a balanced path length with wide characteristics is created,37,000037,1,region,,14.0,,,,
000038,a balanced path length with wide characteristics is created,38,000038,1,region,,8.0,,,,
000039,a balanced path length with wide characteristics is created,39,000039,1,region,,9.0,,,,
000040,a balanced path length with wide characteristics is created,40,000040,1,region,,11.0,,,,
000041,a balanced path length with wide characteristics is created,41,000041,1,region,,1.0,,,,
000042,a balanced path length with wide characteristics is created,42,000042,1,region,,3.0,,,,
000043,a balanced path length with wide characteristics is created,43,000043,1,region,,1.0,,,,
000044,a balanced path length with wide characteristics is created,44,000044,1,region,,7.0,,,,
000045,a balanced path length with wide characteristics is created,45,000045,1,region,,4.0,,,,
000046,a balanced path length with wide characteristics is created,46,000046,1,region,,4.0,,,,
000047,a balanced path length with wide characteristics is created,47,000047,1,region,,5.0,,,,
000048,a balanced path length with wide characteristics is created,48,000048,1,region,,2.0,,,,
000049,a balanced path length with wide characteristics is created,49,000049,1,region,,4.0,,,,
000050,a balanced path length with wide characteristics is created,50,000050,1,region,,8.0,,,,
000051,a balanced path length with wide characteristics is created,51,000051,1,region,,5.0,,,,
000052,a balanced path length with wide characteristics is created,52,000052,1,region,,1.0,,,,
000053,a balanced path length with wide characteristics is created,53,000053,1,region,,3.0,,,,
000054,a balanced path length with wide characteristics is created,54,000054,1,region,,8.0,,,,
000055,a balanced path length with wide characteristics is created,55,000055,1,region,,3.0,,,,
000056,a balanced path length with wide characteristics is created,56,000056,1,region,,1.0,,,,
000057,a balanced path length with wide characteristics is created,57,000057,1,region,,8.0,,,,
000058,a balanced path length with wide characteristics is created,58,000058,1,region,,7.0,,,,
000059,a balanced path length with wide characteristics is created,59,000059,1,region,,13.0,,,,
000060,a bat swarm of clustered units emerges,60,000060,1,region,,5.0,,,,
000061,a bat swarm of clustered units emerges,61,000061,1,region,,1.0,,,,
000062,a bat swarm of clustered units emerges,62,000062,1,region,,3.0,,,,
000063,a bat swarm of clustered units emerges,63,000063,1,region,,1.0,,,,
000064,a bat swarm of clustered units emerges,64,000064,1,region,,4.0,,,,
000065,a bat swarm of clustered units emerges,65,000065,1,region,,4.0,,,,
000066,a bat swarm of clustered units emerges,66,000066,1,region,,2.0,,,,
000067,a bat swarm of clustered units emerges,67,000067,1,region,,7.0,,,,
000068,a bat swarm of clustered units emerges,68,000068,1,region,,4.0,,,,
000069,a bat swarm of clustered units emerges,69,000069,1,region,,6.0,,,,
000070,a bat swarm of clustered units emerges,70,000070,1,region,,1.0,,,,
000071,a bat swarm of clustered units emerges,71,000071,1,region,,1.0,,,,
000072,a bat swarm of clustered units emerges,72,000072,1,region,,1.0,,,,
000073,a bat swarm of clustered units emerges,73,000073,1,region,,7.0,,,,
000074,a bat swarm of clustered units emerges,74,000074,1,region,,2.0,,,,
000075,a bat swarm of clustered units emerges,75,000075,1,region,,1.0,,,,
000076,a bat swarm of clustered units emerges,76,000076,1,region,,4.0,,,,
000077,a bat swarm of clustered units emerges,77,000077,1,region,,3.0,,,,
000078,a bat swarm of clustered units emerges,78,000078,1,region,,1.0,,,,
000079,a bat swarm of clustered units emerges,79,000079,1,region,,1.0,,,,
000080,a bat swarm of clustered units emerges,80,000080,1,region,,1.0,,,,
000081,a bat swarm of clustered units emerges,81,000081,1,region,,2.0,,,,
000082,a bat swarm of clustered units emerges,82,000082,1,region,,3.0,,,,
000083,a bat swarm of clustered units emerges,83,000083,1,region,,3.0,,,,
000084,a bat swarm of clustered units emerges,84,000084,1,region,,1.0,,,,
000085,a bat swarm of clustered units emerges,85,000085,1,region,,2.0,,,,
000086,a bat swarm of clustered units emerges,86,000086,1,region,,3.0,,,,
000087,a bat swarm of clustered units emerges,87,000087,1,region,,1.0,,,,
000088,a bat swarm of clustered units emerges,88,000088,1,region,,4.0,,,,
000089,a bat swarm of clustered units emerges,89,000089,1,region,,6.0,,,,
000090,a bat swarm of clustered units emerges,90,000090,1,region,,1.0,,,,
000091,a bat swarm of clustered units emerges,91,000091,1,region,,1.0,,,,
000092,a bat swarm of scattered units emerges,92,000092,1,region,,39.0,,,,
000093,a bat swarm of scattered units emerges,93,000093,1,region,,45.0,,,,
000094,a bat swarm of scattered units emerges,94,000094,1,region,,31.0,,,,
000095,a bat swarm of scattered units emerges,95,000095,1,region,,30.0,,,,
000096,a bat swarm of scattered units emerges,96,000096,1,region,,42.0,,,,
000097,a bat swarm of scattered units emerges,97,000097,1,region,,36.0,,,,
000098,a bat swarm of scattered units emerges,98,000098,1,region,,44.0,,,,
000099,a bat swarm of scattered units emerges,99,000099,1,region,,29.0,,,,
000100,a bat swarm of scattered units emerges,100,000100,1,region,,37.0,,,,
000101,a bat swarm of scattered units emerges,101,000101,1,region,,35.0,,,,
000102,a bat swarm of scattered units emerges,102,000102,1,region,,29.0,,,,
000103,a bat swarm of scattered units emerges,103,000103,1,region,,34.0,,,,
000104,a bat swarm of scattered units emerges,104,000104,1,region,,26.0,,,,
000105,a bat swarm of scattered units emerges,105,000105,1,region,,22.0,,,,
000106,a bat swarm of scattered units emerges,106,000106,1,region,,34.0,,,,
000107,a bat swarm of scattered units emerges,107,000107,1,region,,41.0,,,,
000108,a bat swarm of scattered units emerges,108,000108,1,region,,29.0,,,,
000109,a bat swarm of scattered units emerges,109,000109,1,region,,36.0,,,,
000110,a bat swarm of scattered units emerges,110,000110,1,region,,36.0,,,,
000111,a bat swarm of scattered units emerges,111,000111,1,region,,27.0,,,,
000112,a bat swarm of scattered units emerges,112,000112,1,region,,25.0,,,,
000113,a bat swarm of scattered units emerges,113,000113,1,region,,43.0,,,,
000114,a bat swarm of scattered units emerges,114,000114,1,region,,22.0,,,,
000115,a bat swarm of scattered units emerges,115,000115,1,region,,28.0,,,,
000116,a bat swarm of scattered units emerges,116,000116,1,region,,24.0,,,,
000117,a bat swarm of scattered units emerges,117,000117,1,region,,37.0,,,,
000118,a bat swarm of scattered units emerges,118,000118,1,region,,26.0,,,,
000119,a bat swarm of scattered units emerges,119,000119,1,region,,40.0,,,,
000120,a bat swarm of scattered units emerges,120,000120,1,region,,23.0,,,,
000121,a bat swarm of scattered units emerges,121,000121,1,region,,28.0,,,,
000122,a bat swarm of scattered units emerges,122,000122,1,region,,24.0,,,,
000123,a bat swarm of scattered units emerges,123,000123,1,region,,45.0,,,,
000124,a cluster of five clustered bats forms,124,000124,1,region,,1.0,,,,
000125,a cluster of five clustered bats forms,125,000125,1,region,,4.0,,,,
000126,a cluster of five clustered bats forms,126,000126,1,region,,4.0,,,,
000127,a cluster of five clustered bats forms,127,000127,1,region,,4.0,,,,
000128,a cluster of five clustered bats forms,128,000128,1,region,,1.0,,,,
000129,a cluster of five clustered bats forms,129,000129,1,region,,1.0,,,,
000130,a cluster of five clustered bats forms,130,000130,1,region,,1.0,,,,
000131,a cluster of five clustered bats forms,131,000131,1,region,,1.0,,,,
000132,a cluster of five clustered bats forms,132,000132,1,region,,1.0,,,,
000133,a cluster of five clustered bats forms,133,000133,1,region,,1.0,,,,
000134,a cluster of five clustered bats forms,134,000134,1,region,,1.0,,,,
000135,a cluster of five clustered bats forms,135,000135,1,region,,2.0,,,,
000136,a cluster of five clustered bats forms,136,000136,1,region,,1.0,,,,
000137,a cluster of five clustered bats forms,137,000137,1,region,,1.0,,,,
000138,a cluster of five clustered bats forms,138,000138,1,region,,5.0,,,,
000139,a cluster of five clustered bats forms,139,000139,1,region,,1.0,,,,
000140,a cluster of five clustered bats forms,140,000140,1,region,,1.0,,,,
000141,a cluster of five clustered bats forms,141,000141,1,region,,1.0,,,,
000142,a cluster of five clustered bats forms,142,000142,1,region,,2.0,,,,
000143,a cluster of five clustered bats forms,143,000143,1,region,,1.0,,,,
000144,a cluster of five clustered bats forms,144,000144,1,region,,1.0,,,,
000145,a cluster of five clustered bats forms,145,000145,1,region,,2.0,,,,
000146,a cluster of five clustered bats forms,146,000146,1,region,,1.0,,,,
000147,a cluster of five clustered bats forms,147,000147,1,region,,1.0,,,,
000148,a cluster of five clustered bats forms,148,000148,1,region,,1.0,,,,
000149,a cluster of five clustered bats forms,149,000149,1,region,,1.0,,,,
000150,a cluster of five clustered bats forms,150,000150,1,region,,3.0,,,,
000151,a cluster of five clustered bats forms,151,000151,1,region,,1.0,,,,
000152,a cluster of five clustered bats forms,152,000152,1,region,,3.0,,,,
000153,a cluster of five clustered bats forms,153,000153,1,region,,1.0,,,,
000154,a cluster of five clustered bats forms,154,000154,1,region,,1.0,,,,
000155,a cluster of five clustered bats forms,155,000155,1,region,,1.0,,,,
000156,a cluster of five scattered bats forms,156,000156,1,region,,6.0,,,,
000157,a cluster of five scattered bats forms,157,000157,1,region,,1.0,,,,
000158,a cluster of five scattered bats forms,158,000158,1,region,,1.0,,,,
000159,a cluster of five scattered bats forms,159,000159,1,region,,1.0,,,,
000160,a cluster of five scattered bats forms,160,000160,1,region,,6.0,,,,
000161,a cluster of five scattered bats forms,161,000161,1,region,,1.0,,,,
000162,a cluster of five scattered bats forms,162,000162,1,region,,2.0,,,,
000163,a cluster of five scattered bats forms,163,000163,1,region,,5.0,,,,
000164,a cluster of five scattered bats forms,164,000164,1,region,,1.0,,,,
000165,a cluster of five scattered bats forms,165,000165,1,region,,2.0,,,,
000166,a cluster of five scattered bats forms,166,000166,1,region,,3.0,,,,
000167,a cluster of five scattered bats forms,167,000167,1,region,,1.0,,,,
000168,a cluster of five scattered bats forms,168,000168,1,region,,1.0,,,,
000169,a cluster of five scattered bats forms,169,000169,1,region,,13.0,,,,
000170,a cluster of five scattered bats forms,170,000170,1,region,,1.0,,,,
000171,a cluster of five scattered bats forms,171,000171,1,region,,16.0,,,,
000172,a cluster of five scattered bats forms,172,000172,1,region,,3.0,,,,
000173,a cluster of five scattered bats forms,173,000173,1,region,,4.0,,,,
000174,a cluster of five scattered bats forms,174,000174,1,region,,2.0,,,,
000175,a cluster of five scattered bats forms,175,000175,1,region,,1.0,,,,
000176,a cluster of five scattered bats forms,176,000176,1,region,,1.0,,,,
000177,a cluster of five scattered bats forms,177,000177,1,region,,3.0,,,,
000178,a cluster of five scattered bats forms,178,000178,1,region,,2.0,,,,
000179,a cluster of five scattered bats forms,179,000179,1,region,,4.0,,,,
000180,a cluster of five scattered bats forms,180,000180,1,region,,1.0,,,,
000181,a cluster of five scattered bats forms,181,000181,1,region,,1.0,,,,
000182,a cluster of five scattered bats forms,182,000182,1,region,,1.0,,,,
000183,a cluster of five scattered bats forms,183,000183,1,region,,6.0,,,,
000184,a cluster of five scattered bats forms,184,000184,1,region,,1.0,,,,
000185,a cluster of five scattered bats forms,185,000185,1,region,,2.0,,,,
000186,a cluster of five scattered bats forms,186,000186,1,region,,6.0,,,,
000187,a cluster of five scattered bats forms,187,000187,1,region,,1.0,,,,
000188,a dense group of clustered bats appears,188,000188,1,region,,2.0,,,,
000189,a dense group of clustered bats appears,189,000189,1,region,,1.0,,,,
000190,a dense group of clustered bats appears,190,000190,1,region,,1.0,,,,
000191,a dense group of clustered bats appears,191,000191,1,region,,5.0,,,,
000192,a dense group of clustered bats appears,192,000192,1,region,,1.0,,,,
000193,a dense group of clustered bats appears,193,000193,1,region,,4.0,,,,
000194,a dense group of clustered bats appears,194,000194,1,region,,6.0,,,,
000195,a dense group of clustered bats appears,195,000195,1,region,,2.0,,,,
000196,a dense group of clustered bats appears,196,000196,1,region,,2.0,,,,
000197,a dense group of clustered bats appears,197,000197,1,region,,2.0,,,,
000198,a dense group of clustered bats appears,198,000198,1,region,,1.0,,,,
000199,a dense group of clustered bats appears,199,000199,1,region,,2.0,,,,
000200,a dense group of clustered bats appears,200,000200,1,region,,4.0,,,,
000201,a dense group of clustered bats appears,201,000201,1,region,,1.0,,,,
000202,a dense group of clustered bats appears,202,000202,1,region,,1.0,,,,
000203,a dense group of clustered bats appears,203,000203,1,region,,2.0,,,,
000204,a dense group of clustered bats appears,204,000204,1,region,,1.0,,,,
000205,a dense group of clustered bats appears,205,000205,1,region,,1.0,,,,
000206,a dense group of clustered bats appears,206,000206,1,region,,1.0,,,,
000207,a dense group of clustered bats appears,207,000207,1,region,,1.0,,,,
000208,a dense group of clustered bats appears,208,000208,1,region,,1.0,,,,
000209,a dense group of clustered bats appears,209,000209,1,region,,1.0,,,,
000210,a dense group of clustered bats appears,210,000210,1,region,,3.0,,,,
000211,a dense group of clustered bats appears,211,000211,1,region,,1.0,,,,
000212,a dense group of clustered bats appears,212,000212,1,region,,1.0,,,,
000213,a dense group of clustered bats appears,213,000213,1,region,,3.0,,,,
000214,a dense group of clustered bats appears,214,000214,1,region,,1.0,,,,
000215,a dense group of clustered bats appears,215,000215,1,region,,2.0,,,,
000216,a dense group of clustered bats appears,216,000216,1,region,,1.0,,,,
000217,a dense group of clustered bats appears,217,000217,1,region,,4.0,,,,
000218,a dense group of clustered bats appears,218,000218,1,region,,3.0,,,,
000219,a dense group of clustered bats appears,219,000219,1,region,,1.0,,,,
000220,a dense group of scattered bats appears,220,000220,1,region,,21.0,,,,
000221,a dense group of scattered bats appears,221,000221,1,region,,23.0,,,,
000222,a dense group of scattered bats appears,222,000222,1,region,,28.0,,,,
000223,a dense group of scattered bats appears,223,000223,1,region,,33.0,,,,
000224,a dense group of scattered bats appears,224,000224,1,region,,25.0,,,,
000225,a dense group of scattered bats appears,225,000225,1,region,,24.0,,,,
000226,a dense group of scattered bats appears,226,000226,1,region,,24.0,,,,
000227,a dense group of scattered bats appears,227,000227,1,region,,20.0,,,,
000228,a dense group of scattered bats appears,228,000228,1,region,,12.0,,,,
000229,a dense group of scattered bats appears,229,000229,1,region,,20.0,,,,
000230,a dense group of scattered bats appears,230,000230,1,region,,27.0,,,,
000231,a dense group of scattered bats appears,231,000231,1,region,,19.0,,,,
000232,a dense group of scattered bats appears,232,000232,1,region,,22.0,,,,
000233,a dense group of scattered bats appears,233,000233,1,region,,27.0,,,,
000234,a dense group of scattered bats appears,234,000234,1,region,,17.0,,,,
000235,a dense group of scattered bats appears,235,000235,1,region,,16.0,,,,
000236,a dense group of scattered bats appears,236,000236,1,region,,16.0,,,,
000237,a dense group of scattered bats appears,237,000237,1,region,,24.0,,,,
000238,a dense group of scattered bats appears,238,000238,1,region,,18.0,,,,
000239,a dense group of scattered bats appears,239,000239,1,region,,17.0,,,,
000240,a dense group of scattered bats appears,240,000240,1,region,,21.0,,,,
000241,a dense group of scattered bats appears,241,000241,1,region,,13.0,,,,
000242,a dense group of scattered bats appears,242,000242,1,region,,23.0,,,,
000243,a dense group of scattered bats appears,243,000243,1,region,,11.0,,,,
000244,a dense group of scattered bats appears,244,000244,1,region,,22.0,,,,
000245,a dense group of scattered bats appears,245,000245,1,region,,22.0,,,,
000246,a dense group of scattered bats appears,246,000246,1,region,,25.0,,,,
000247,a dense group of scattered bats appears,247,000247,1,region,,20.0,,,,
000248,a dense group of scattered bats appears,248,000248,1,region,,7.0,,,,
000249,a dense group of scattered bats appears,249,000249,1,region,,23.0,,,,
000250,a dense group of scattered bats appears,250,000250,1,region,,30.0,,,,
000251,a dense group of scattered bats appears,251,000251,1,region,,23.0,,,,
000252,a few clustered bats appear,252,000252,1,region,,1.0,,,,
000253,a few clustered bats appear,253,000253,1,region,,1.0,,,,
000254,a few clustered bats appear,254,000254,1,region,,2.0,,,,
000255,a few clustered bats appear,255,000255,1,region,,1.0,,,,
000256,a few clustered bats appear,256,000256,1,region,,1.0,,,,
000257,a few clustered bats appear,257,000257,1,region,,1.0,,,,
000258,a few clustered bats appear,258,000258,1,region,,1.0,,,,
000259,a few clustered bats appear,259,000259,1,region,,2.0,,,,
000260,a few clustered bats appear,260,000260,1,region,,3.0,,,,
000261,a few clustered bats appear,261,000261,1,region,,1.0,,,,
000262,a few clustered bats appear,262,000262,1,region,,4.0,,,,
000263,a few clustered bats appear,263,000263,1,region,,1.0,,,,
000264,a few clustered bats appear,264,000264,1,region,,2.0,,,,
000265,a few clustered bats appear,265,000265,1,region,,2.0,,,,
000266,a few clustered bats appear,266,000266,1,region,,1.0,,,,
000267,a few clustered bats appear,267,000267,1,region,,3.0,,,,
000268,a few clustered bats appear,268,000268,1,region,,1.0,,,,
000269,a few clustered bats appear,269,000269,1,region,,2.0,,,,
000270,a few clustered bats appear,270,000270,1,region,,1.0,,,,
000271,a few clustered bats appear,271,000271,1,region,,1.0,,,,
000272,a few clustered bats appear,272,000272,1,region,,3.0,,,,
000273,a few clustered bats appear,273,000273,1,region,,1.0,,,,
000274,a few clustered bats appear,274,000274,1,region,,1.0,,,,
000275,a few clustered bats appear,275,000275,1,region,,1.0,,,,
000276,a few clustered bats appear,276,000276,1,region,,1.0,,,,
000277,a few clustered bats appear,277,000277,1,region,,1.0,,,,
000278,a few clustered bats appear,278,000278,1,region,,9.0,,,,
000279,a few clustered bats appear,279,000279,1,region,,1.0,,,,
000280,a few clustered bats appear,280,000280,1,region,,1.0,,,,
000281,a few clustered bats appear,281,000281,1,region,,1.0,,,,
000282,a few clustered bats appear,282,000282,1,region,,1.0,,,,
000283,a few clustered bats appear,283,000283,1,region,,1.0,,,,
000284,a few large regions are present,284,000284,1,region,,7.0,,,,
000285,a few large regions are present,285,000285,1,region,,7.0,,,,
000286,a few large regions are present,286,000286,1,region,,6.0,,,,
000287,a few large regions are present,287,000287,1,region,,6.0,,,,
000288,a few large regions are present,288,000288,1,region,,4.0,,,,
000289,a few large regions are present,289,000289,1,region,,5.0,,,,
000290,a few large regions are present,290,000290,1,region,,8.0,,,,
000291,a few large regions are present,291,000291,1,region,,6.0,,,,
000292,a few large regions are present,292,000292,1,region,,6.0,,,,
000293,a few large regions are present,293,000293,1,region,,6.0,,,,
000294,a few large regions are present,294,000294,1,region,,7.0,,,,
000295,a few large regions are present,295,000295,1,region,,9.0,,,,
000296,a few large regions are present,296,000296,1,region,,6.0,,,,
000297,a few large regions are present,297,000297,1,region,,6.0,,,,
000298,a few large regions are present,298,000298,1,region,,7.0,,,,
000299,a few large regions are present,299,000299,1,region,,5.0,,,,
000300,a few large regions are present,300,000300,1,region,,4.0,,,,
000301,a few large regions are present,301,000301,1,region,,6.0,,,,
000302,a few large regions are present,302,000302,1,region,,5.0,,,,
000303,a few large regions are present,303,000303,1,region,,5.0,,,,
000304,a few large regions are present,304,000304,1,region,,5.0,,,,
000305,a few large regions are present,305,000305,1,region,,6.0,,,,
000306,a few large regions are present,306,000306,1,region,,7.0,,,,
000307,a few large regions are present,307,000307,1,region,,6.0,,,,
000308,a few large regions are present,308,000308,1,region,,7.0,,,,
000309,a few large regions are present,309,000309,1,region,,6.0,,,,
000310,a few large regions are present,310,000310,1,region,,5.0,,,,
000311,a few large regions are present,311,000311,1,region,,5.0,,,,
000312,a few scattered bats appear,312,000312,1,region,,7.0,,,,
000313,a few scattered bats appear,313,000313,1,region,,7.0,,,,
000314,a few scattered bats appear,314,000314,1,region,,4.0,,,,
000315,a few scattered bats appear,315,000315,1,region,,2.0,,,,
000316,a few scattered bats appear,316,000316,1,region,,4.0,,,,
000317,a few scattered bats appear,317,000317,1,region,,3.0,,,,
000318,a few scattered bats appear,318,000318,1,region,,2.0,,,,
000319,a few scattered bats appear,319,000319,1,region,,2.0,,,,
000320,a few scattered bats appear,320,000320,1,region,,1.0,,,,
000321,a few scattered bats appear,321,000321,1,region,,2.0,,,,
000322,a few scattered bats appear,322,000322,1,region,,4.0,,,,
000323,a few scattered bats appear,323,000323,1,region,,5.0,,,,
000324,a few scattered bats appear,324,000324,1,region,,5.0,,,,
000325,a few scattered bats appear,325,000325,1,region,,2.0,,,,
000326,a few scattered bats appear,326,000326,1,region,,3.0,,,,
000327,a few scattered bats appear,327,000327,1,region,,2.0,,,,
000328,a few scattered bats appear,328,000328,1,region,,4.0,,,,
000329,a few scattered bats appear,329,000329,1,region,,2.0,,,,
000330,a few scattered bats appear,330,000330,1,region,,2.0,,,,
000331,a few scattered bats appear,331,000331,1,region,,1.0,,,,
000332,a few scattered bats appear,332,000332,1,region,,2.0,,,,
000333,a few scattered bats appear,333,000333,1,region,,3.0,,,,
000334,a few scattered bats appear,334,000334,1,region,,9.0,,,,
000335,a few scattered bats appear,335,000335,1,region,,2.0,,,,
000336,a few scattered bats appear,336,000336,1,region,,4.0,,,,
000337,a few scattered bats appear,337,000337,1,region,,2.0,,,,
000338,a few scattered bats appear,338,000338,1,region,,3.0,,,,
000339,a few scattered bats appear,339,000339,1,region,,5.0,,,,
000340,a few scattered bats appear,340,000340,1,region,,1.0,,,,
000341,a few scattered bats appear,341,000341,1,region,,3.0,,,,
000342,a few scattered bats appear,342,000342,1,region,,7.0,,,,
000343,a few scattered bats appear,343,000343,1,region,,1.0,,,,
000344,a few small regions are present,344,000344,1,region,,5.0,,,,
000345,a few small regions are present,345,000345,1,region,,5.0,,,,
000346,a few small regions are present,346,000346,1,region,,7.0,,,,
000347,a few small regions are present,347,000347,1,region,,6.0,,,,
000348,a few small regions are present,348,000348,1,region,,5.0,,,,
000349,a few small regions are present,349,000349,1,region,,4.0,,,,
000350,a few small regions are present,350,000350,1,region,,5.0,,,,
000351,a few small regions are present,351,000351,1,region,,4.0,,,,
000352,a few small regions are present,352,000352,1,region,,4.0,,,,
000353,a few small regions are present,353,000353,1,region,,5.0,,,,
000354,a few small regions are present,354,000354,1,region,,6.0,,,,
000355,a few small regions are present,355,000355,1,region,,5.0,,,,
000356,a few small regions are present,356,000356,1,region,,4.0,,,,
000357,a few small regions are present,357,000357,1,region,,5.0,,,,
000358,a few small regions are present,358,000358,1,region,,7.0,,,,
000359,a few small regions are present,359,000359,1,region,,7.0,,,,
000360,a few small regions are present,360,000360,1,region,,5.0,,,,
000361,a few small regions are present,361,000361,1,region,,8.0,,,,
000362,a few small regions are present,362,000362,1,region,,5.0,,,,
000363,a few small regions are present,363,000363,1,region,,6.0,,,,
000364,a few small regions are present,364,000364,1,region,,5.0,,,,
000365,a few small regions are present,365,000365,1,region,,5.0,,,,
000366,a few small regions are present,366,000366,1,region,,8.0,,,,
000367,a few small regions are present,367,000367,1,region,,5.0,,,,
000368,a few small regions are present,368,000368,1,region,,5.0,,,,
000369,a few small regions are present,369,000369,1,region,,5.0,,,,
000370,a few small regions are present,370,000370,1,region,,7.0,,,,
000371,a few small regions are present,371,000371,1,region,,5.0,,,,
000372,a few small regions are present,372,000372,1,region,,5.0,,,,
000373,a few small regions are present,373,000374,1,region,,5.0,,,,
000374,a few small regions are present,374,000375,1,region,,8.0,,,,
000375,a few small regions are present,375,000376,1,region,,5.0,,,,
000376,a few small regions are present,376,000377,1,region,,6.0,,,,
000377,a few small regions are present,377,000378,1,region,,5.0,,,,
000378,a few small regions are present,378,000379,1,region,,4.0,,,,
000379,a few small regions are present,379,000380,1,region,,5.0,,,,
000380,a few small regions are present,380,000381,1,region,,5.0,,,,
000381,a few small regions are present,381,000382,1,region,,5.0,,,,
000382,a few small regions are present,382,000383,1,region,,5.0,,,,
000383,a few small regions are present,383,000384,1,region,,5.0,,,,
000384,a few small regions are present,384,000385,1,region,,5.0,,,,
000385,a few small regions are present,385,000386,1,region,,6.0,,,,
000386,a few small regions are present,386,000387,1,region,,7.0,,,,
000387,a linear bats pattern forms across the top,387,000448,1,region,,1.0,,,,
000388,a linear bats pattern forms across the top,388,000449,1,region,,1.0,,,,
000389,a linear bats pattern forms across the top,389,000450,1,region,,1.0,,,,
000390,a linear bats pattern forms across the top,390,000451,1,region,,1.0,,,,
000391,a linear bats pattern forms across the top,391,000452,1,region,,1.0,,,,
000392,a linear bats pattern forms across the top,392,000453,1,region,,1.0,,,,
000393,a linear bats pattern forms across the top,393,000454,1,region,,1.0,,,,
000394,a linear bats pattern forms across the top,394,000455,1,region,,1.0,,,,
000395,a linear bats pattern forms across the top,395,000456,1,region,,1.0,,,,
000396,a linear bats pattern forms across the top,396,000457,1,region,,5.0,,,,
000397,a linear bats pattern forms across the top,397,000458,1,region,,2.0,,,,
000398,a linear bats pattern forms across the top,398,000459,1,region,,3.0,,,,
000399,a linear bats pattern forms across the top,399,000460,1,region,,3.0,,,,
000400,a linear bats pattern forms across the top,400,000461,1,region,,1.0,,,,
000401,a linear bats pattern forms across the top,401,000462,1,region,,1.0,,,,
000402,a linear formation of bats appears on the left,402,000480,1,region,,2.0,,,,
000403,a linear formation of bats appears on the left,403,000481,1,region,,2.0,,,,
000404,a linear formation of bats appears on the left,404,000482,1,region,,2.0,,,,
000405,a linear formation of bats appears on the left,405,000483,1,region,,2.0,,,,
000406,a linear formation of bats appears on the left,406,000484,1,region,,4.0,,,,
000407,a linear formation of bats appears on the left,407,000485,1,region,,3.0,,,,
000408,a linear formation of bats appears on the left,408,000486,1,region,,3.0,,,,
000409,a linear formation of bats appears on the left,409,000487,1,region,,1.0,,,,
000410,a linear formation of bats appears on the left,410,000488,1,region,,1.0,,,,
